Tool,TIME Status,Primary SysAdmin,Budget Holder(s),Description,URL,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap11,Cap12,Cap13,Cap14,Cap15,Cap16,Cap17,Cap18,Cap19,Cap20,Cap21,Cap22,Cap23,Cap24,Cap25,Cap26,AMERICAS D&A,AMETA D&A,DIGITAL D&A,EUROPE D&A,ERA,GAC
NodeJS,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A JavaScript runtime environment that enables server-side JavaScript development. Node.js uses an event-driven, non-blocking I/O model that makes it efficient for building scalable network applications, APIs, and real-time applications like chat systems, streaming services, and microservices architectures.",https://nodejs.org,2,3,2,0,2,2,2,3,3,2,2,2,2,2,1,2,1,1,1,2,2,2,3,1,0,0,1,0,0,0,0,0
ManageEngine PAM360,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","ManageEngine's Privileged Access Management solution that provides centralized control and monitoring of privileged accounts and access. PAM360 helps organizations secure sensitive systems by managing administrator passwords, controlling privileged access, and maintaining audit trails for compliance and security purposes.",https://www.manageengine.com/products/passwordmanagerpro/,0,0,1,0,0,1,1,1,1,2,1,1,1,2,0,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0
OpenTofu,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source infrastructure as code tool under Linux Foundation governance that enables teams to define, provision, and manage cloud infrastructure using declarative configuration files across multiple providers. It provides advanced features including state encryption, provider iteration with for_each, resource exclusion flags, and early variable evaluation, while maintaining compatibility with existing Terraform workflows and supporting an ecosystem of 3,900+ providers and 23,600+ modules.",https://opentofu.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Precisely Winshuttle,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A data management and process automation platform that enables organizations to automate SAP data transactions, migrations, and business processes. Winshuttle provides tools for data validation, mass data updates, and workflow automation, focused on SAP environments and enterprise resource planning systems.",https://www.precisely.com/faq-general-winshuttle/#:~:text=Winshuttle%20was%20acquired%20by%20Precisely,1,1,0,2,0,1,2,2,1,2,2,3,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0
Pyspark,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","The Python API for Apache Spark, a distributed computing framework designed for processing large datasets across clusters of computers. PySpark enables data scientists and engineers to perform big data analytics, machine learning, and real-time stream processing using Python syntax.",https://spark.apache.org/docs/latest/api/python/,2,2,2,1,2,3,3,1,2,2,3,2,2,2,1,3,2,2,2,3,2,3,2,1,0,0,1,0,1,0,0,0
Python,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A high-level programming language used for data science, machine learning, web development, and automation. Python's simple syntax, extensive libraries (like pandas, numpy, scikit-learn), and active community make it a popular choice for data analysis, artificial intelligence, and scientific computing applications.",https://www.python.org,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,3,3,3,2,3,2,3,3,1,0,0,1,1,1,0,0,0
QGIS (ex Quantum GIS),TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A free, open-source geographic information system (GIS) that enables users to create, edit, visualize, analyze, and publish geospatial information. QGIS supports various data formats and provides mapping and spatial analysis capabilities for applications in urban planning, environmental management, and location intelligence.",https://www.qgis.org,3,1,2,0,3,2,2,2,2,2,2,2,2,2,0,1,0,1,2,2,2,2,1,3,0,0,1,0,0,0,0,0
Qlik,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A business intelligence and data visualization platform that enables users to create interactive dashboards and perform self-service analytics. Qlik's associative analytics engine allows users to explore data relationships dynamically, making it easier to discover insights and make data-driven decisions across organizations.",https://www.qlik.com,3,1,3,0,3,2,2,2,2,2,2,3,2,2,0,2,1,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0
R,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A programming language and environment designed for statistical computing, data analysis, and graphics. R provides statistical functions, visualization capabilities, and extensive packages for analyses, making it a choice for statisticians, researchers, and data scientists performing statistical modeling.",https://www.r-project.org,2,2,2,1,2,2,2,1,2,1,2,2,3,2,1,3,2,2,2,3,2,2,2,1,0,0,0,0,0,0,0,0
SAP Analytics Cloud,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An enterprise analytics platform that combines business intelligence, planning, and predictive analytics in a single cloud solution. SAP Analytics Cloud enables organizations to analyze data, create interactive dashboards, perform financial planning, and build predictive models while integrating with existing SAP and third-party systems.",https://www.sap.com/products/technology-platform/cloud-analytics.html,3,2,3,0,3,2,2,2,2,2,2,3,3,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0
SAP GUI (Desktop),TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","The traditional desktop client interface for accessing SAP enterprise software systems. SAP GUI provides the user interface for interacting with SAP applications, enabling users to perform business transactions, generate reports, and access SAP functionality through a Windows-based application environment.",https://learning.sap.com/learning-journeys/introducing-sap-abap-platform-fundamentals/introducing-the-sap-gui-1,1,0,2,0,1,2,1,1,1,2,2,2,0,0,1,2,1,2,0,0,0,0,0,1,3,3,1,0,0,0,0,0
Salesforce Einstein,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Salesforce's artificial intelligence platform that brings AI capabilities to CRM and business processes. Einstein provides predictive analytics, automated insights, natural language processing, and machine learning features integrated directly into Salesforce applications, enabling smarter customer relationship management and business automation.",https://www.salesforce.com/products/einstein/,2,3,3,1,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,1,1,1,0,0,0,0,0,0
Salesforce Mulesoft,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An integration platform-as-a-service (iPaaS) that enables organizations to connect applications, data, and devices across cloud and on-premises environments. MuleSoft provides API management, data integration, and connectivity solutions that help organizations create digital experiences and break down data silos.",https://www.mulesoft.com,1,2,2,0,1,3,2,1,2,2,2,2,1,2,0,1,1,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0
Scala,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A programming language that combines object-oriented and functional programming paradigms, running on the Java Virtual Machine. Scala is popular for big data processing (especially with Apache Spark), distributed systems, and applications requiring high performance and scalability.",https://www.scala-lang.org,2,2,2,1,2,3,2,1,2,2,3,2,2,2,1,3,2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0
Smolagents,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A minimalist AI agent framework by Hugging Face that enables developers to build powerful AI agents with minimal code, featuring code-first execution where agents write and execute Python snippets rather than generating JSON or text actions. It provides seamless integration with the Hugging Face Hub for sharing and loading tools, supports multiple LLMs through Transformers and LiteLLM, and offers secure sandboxed execution environments for safe code execution.",https://smolagents.org/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Soda Data Observability,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A data quality and observability platform that monitors data pipelines, detects anomalies, and ensures data reliability across organizations. Soda provides automated data testing, quality monitoring, and incident management capabilities that help data teams maintain trust in their data and quickly identify and resolve data issues.",https://www.soda.io,2,1,2,0,2,2,2,1,2,2,3,2,2,2,0,1,1,2,3,3,2,2,1,1,0,0,1,0,1,0,0,0
Splunk,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A platform for searching, monitoring, and analyzing machine-generated data from various sources including servers, networks, applications, and IoT devices. Splunk enables organizations to gain operational intelligence, perform security monitoring, troubleshoot issues, and extract insights from log data and time-series information.",https://www.splunk.com,2,1,3,0,2,2,2,1,1,2,2,3,2,2,0,2,1,1,2,3,2,2,2,1,0,0,1,0,0,0,0,0
SQL,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Structured Query Language - the standard programming language for managing and manipulating relational databases. SQL enables users to create, read, update, and delete data, define database structures, and perform complex queries and analytics. It's fundamental for data management, reporting, and business intelligence.",https://www.w3schools.com/sql/,1,1,3,0,3,3,3,1,2,2,3,3,2,2,0,2,1,2,2,2,2,3,1,0,0,0,1,1,1,0,0,0
SS&C Blue Prism,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A robotic process automation (RPA) platform that enables organizations to automate repetitive, rule-based business processes using software robots. Blue Prism provides drag-and-drop automation tools, process orchestration, and enterprise-grade security features for scaling automation across organizations.",https://www.blueprism.com,1,2,2,0,1,2,1,2,2,2,3,2,2,3,1,1,1,1,2,2,3,1,1,0,0,0,1,0,0,0,0,0
Spyder IDE,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An integrated development environment designed specifically for scientific computing and data analysis in Python. Spyder combines advanced editing capabilities with interactive execution, debugging tools, and seamless integration with popular data science libraries including NumPy, Pandas, and Matplotlib. It provides features like variable exploration, integrated plotting, and IPython console integration, making it a preferred choice for data scien",https://www.spyder-ide.org/,2,1,3,0,2,2,2,1,1,2,2,3,0,2,0,1,2,1,1,1,2,2,1,2,0,1,1,1,0,0,0,0
Tabular Editor,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A productivity development environment for Power BI and Analysis Services tabular models that accelerates semantic model development with advanced DAX editing, debugging capabilities, and model optimization tools. It provides real-time code validation with auto-complete, Best Practice Analyzer rules, pivot grid testing, and C# scripting automation, while seamlessly integrating with Microsoft Fabric, Power BI Desktop, and SSAS to reduce development time through its customisable interface and enterprise-grade features.",https://tabulareditor.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Theobald Software Xtract IS,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com",A data integration tool focused on extracting data from SAP systems and loading it into various target systems including data warehouses and analytics platforms. Xtract IS provides SAP-certified connectors and transformation capabilities designed for SAP data integration scenarios.,https://theobald-software.com/en/xtract-is,1,0,2,0,1,3,2,1,1,2,2,2,1,2,0,0,0,1,2,1,2,2,0,0,0,0,1,1,0,0,0,0
Thoughtspot Analytics,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A search-driven analytics platform that enables users to search their data using natural language queries and get instant answers through interactive visualizations. ThoughtSpot makes data analysis accessible to business users by providing Google-like search capabilities for enterprise data, eliminating the need for complex query languages.",https://www.thoughtspot.com,3,2,3,0,3,2,2,2,2,2,2,3,2,2,1,2,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0
WARP IDE,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An AI-powered development environment that enables developers to build software using multiple autonomous agents that write code, debug applications, and create pull requests through natural language commands. It provides parallel agent execution, context-aware coding assistance, and integration with development workflows, allowing teams to accelerate their development process with AI agents that can handle complex multi-repository codebases.",https://www.warp.dev/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
YAML,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","YAML Ain't Markup Language - a human-readable data serialization format used for configuration files, data exchange, and infrastructure-as-code definitions. YAML's clean, indented syntax makes it popular for DevOps tools, CI/CD pipelines, containerization platforms, and application configuration management.",https://yaml.org,0,2,1,0,1,2,1,1,2,3,2,1,1,3,2,1,2,2,2,0,3,1,2,0,0,0,1,1,1,0,0,0
